term,business,entertainment,politics,df,idf,TFIDF_business,TFIDF_entertainment,TFIDF_politics
comedi,131,0,0,1,0.47712125471966244,62.50288436827578,0.0,0.0
say,128,653,284,3,0.0,0.0,0.0,0.0
place,127,120,46,3,0.0,0.0,0.0,0.0
week,124,185,147,3,0.0,0.0,0.0,0.0
seri,124,27,24,3,0.0,0.0,0.0,0.0
artist,121,5,1,3,0.0,0.0,0.0,0.0
well,120,107,122,3,0.0,0.0,0.0,0.0
offic,119,193,105,3,0.0,0.0,0.0,0.0
rock,119,8,4,3,0.0,0.0,0.0,0.0
winner,119,6,9,3,0.0,0.0,0.0,0.0
book,118,67,27,3,0.0,0.0,0.0,0.0
success,118,43,51,3,0.0,0.0,0.0,0.0
follow,116,108,112,3,0.0,0.0,0.0,0.0
act,116,108,39,3,0.0,0.0,0.0,0.0
five,114,66,73,3,0.0,0.0,0.0,0.0
box,113,9,1,3,0.0,0.0,0.0,0.0
ad,110,199,175,3,0.0,0.0,0.0,0.0
think,109,174,54,3,0.0,0.0,0.0,0.0
live,109,98,41,3,0.0,0.0,0.0,0.0
love,109,15,2,3,0.0,0.0,0.0,0.0
london,107,116,112,3,0.0,0.0,0.0,0.0
origin,107,20,21,3,0.0,0.0,0.0,0.0
categori,107,7,4,3,0.0,0.0,0.0,0.0
could,106,384,311,3,0.0,0.0,0.0,0.0
want,106,276,91,3,0.0,0.0,0.0,0.0
life,104,56,45,3,0.0,0.0,0.0,0.0
pop,104,2,0,2,0.17609125905568124,18.31349094179085,0.3521825181113625,0.0
aviat,103,5,20,3,0.0,0.0,0.0,0.0
industri,102,50,179,3,0.0,0.0,0.0,0.0
took,102,50,47,3,0.0,0.0,0.0,0.0
angel,101,0,1,2,0.17609125905568124,17.785217164623806,0.0,0.17609125905568124
ceremoni,100,7,2,3,0.0,0.0,0.0,0.0
screen,99,6,2,3,0.0,0.0,0.0,0.0
appear,98,59,33,3,0.0,0.0,0.0,0.0
come,97,207,136,3,0.0,0.0,0.0,0.0
second,97,48,77,3,0.0,0.0,0.0,0.0
featur,97,13,7,3,0.0,0.0,0.0,0.0
set,96,143,134,3,0.0,0.0,0.0,0.0
hollywood,96,0,1,2,0.17609125905568124,16.9047608693454,0.0,0.17609125905568124
group,95,122,223,3,0.0,0.0,0.0,0.0
becom,94,78,64,3,0.0,0.0,0.0,0.0
hope,93,120,88,3,0.0,0.0,0.0,0.0
told,92,359,155,3,0.0,0.0,0.0,0.0
mani,92,147,165,3,0.0,0.0,0.0,0.0
four,92,82,59,3,0.0,0.0,0.0,0.0
man,92,46,20,3,0.0,0.0,0.0,0.0
see,90,139,100,3,0.0,0.0,0.0,0.0
big,90,64,60,3,0.0,0.0,0.0,0.0
vote,89,259,22,3,0.0,0.0,0.0,0.0
fan,89,5,10,3,0.0,0.0,0.0,0.0
theatr,89,2,0,2,0.17609125905568124,15.67212205595563,0.3521825181113625,0.0
children,88,115,26,3,0.0,0.0,0.0,0.0
radio,88,87,9,3,0.0,0.0,0.0,0.0
present,88,46,34,3,0.0,0.0,0.0,0.0
audienc,88,14,2,3,0.0,0.0,0.0,0.0
celebr,85,9,6,3,0.0,0.0,0.0,0.0
support,84,180,86,3,0.0,0.0,0.0,0.0
open,84,73,64,3,0.0,0.0,0.0,0.0
receiv,84,53,56,3,0.0,0.0,0.0,0.0
compani,84,35,627,3,0.0,0.0,0.0,0.0
night,84,18,6,3,0.0,0.0,0.0,0.0
use,83,234,127,3,0.0,0.0,0.0,0.0
end,83,105,116,3,0.0,0.0,0.0,0.0
critic,83,65,40,3,0.0,0.0,0.0,0.0
drama,83,0,0,1,0.47712125471966244,39.60106414173198,0.0,0.0
recent,82,67,170,3,0.0,0.0,0.0,0.0
good,81,118,107,3,0.0,0.0,0.0,0.0
direct,81,42,35,3,0.0,0.0,0.0,0.0
televis,81,20,16,3,0.0,0.0,0.0,0.0
right,80,263,62,3,0.0,0.0,0.0,0.0
career,80,22,4,3,0.0,0.0,0.0,0.0
public,79,339,97,3,0.0,0.0,0.0,0.0
back,79,207,162,3,0.0,0.0,0.0,0.0
part,79,158,139,3,0.0,0.0,0.0,0.0
broadcast,79,12,4,3,0.0,0.0,0.0,0.0
home,78,260,48,3,0.0,0.0,0.0,0.0
great,78,64,18,3,0.0,0.0,0.0,0.0
die,78,40,9,3,0.0,0.0,0.0,0.0
lead,77,62,88,3,0.0,0.0,0.0,0.0
th,77,25,8,3,0.0,0.0,0.0,0.0
academi,77,1,0,2,0.17609125905568124,13.559026947287455,0.17609125905568124,0.0
sinc,76,95,182,3,0.0,0.0,0.0,0.0
went,76,54,25,3,0.0,0.0,0.0,0.0
next,75,215,136,3,0.0,0.0,0.0,0.0
realli,75,63,12,3,0.0,0.0,0.0,0.0
host,75,30,7,3,0.0,0.0,0.0,0.0
famili,74,100,35,3,0.0,0.0,0.0,0.0
young,74,61,11,3,0.0,0.0,0.0,0.0
februari,74,25,44,3,0.0,0.0,0.0,0.0
favourit,74,3,3,3,0.0,0.0,0.0,0.0
among,73,47,60,3,0.0,0.0,0.0,0.0
stori,73,19,6,3,0.0,0.0,0.0,0.0
debut,73,2,8,3,0.0,0.0,0.0,0.0
boy,73,2,0,2,0.17609125905568124,12.85466191106473,0.3521825181113625,0.0
look,72,127,126,3,0.0,0.0,0.0,0.0
call,71,212,105,3,0.0,0.0,0.0,0.0
may,71,178,252,3,0.0,0.0,0.0,0.0
programm,71,111,39,3,0.0,0.0,0.0,0.0
later,71,78,44,3,0.0,0.0,0.0,0.0
came,71,59,77,3,0.0,0.0,0.0,0.0
event,71,40,17,3,0.0,0.0,0.0,0.0
stage,71,30,15,3,0.0,0.0,0.0,0.0
product,71,9,232,3,0.0,0.0,0.0,0.0
black,70,41,11,3,0.0,0.0,0.0,0.0
ray,70,2,5,3,0.0,0.0,0.0,0.0
month,69,122,316,3,0.0,0.0,0.0,0.0
move,69,113,155,3,0.0,0.0,0.0,0.0
list,69,52,99,3,0.0,0.0,0.0,0.0
american,69,13,48,3,0.0,0.0,0.0,0.0
honour,69,9,2,3,0.0,0.0,0.0,0.0
sold,69,5,68,3,0.0,0.0,0.0,0.0
former,68,119,108,3,0.0,0.0,0.0,0.0
money,68,100,126,3,0.0,0.0,0.0,0.0
age,68,79,29,3,0.0,0.0,0.0,0.0
beat,68,10,6,3,0.0,0.0,0.0,0.0
way,67,179,81,3,0.0,0.0,0.0,0.0
even,67,131,74,3,0.0,0.0,0.0,0.0
version,67,4,8,3,0.0,0.0,0.0,0.0
know,66,89,19,3,0.0,0.0,0.0,0.0
got,66,75,11,3,0.0,0.0,0.0,0.0
yearold,66,34,7,3,0.0,0.0,0.0,0.0
charl,65,98,4,3,0.0,0.0,0.0,0.0
return,65,91,57,3,0.0,0.0,0.0,0.0
john,65,89,31,3,0.0,0.0,0.0,0.0
turn,65,72,60,3,0.0,0.0,0.0,0.0
third,65,68,64,3,0.0,0.0,0.0,0.0
around,65,57,54,3,0.0,0.0,0.0,0.0
find,65,53,48,3,0.0,0.0,0.0,0.0
tour,65,30,1,3,0.0,0.0,0.0,0.0
christma,65,16,46,3,0.0,0.0,0.0,0.0
babi,65,6,4,3,0.0,0.0,0.0,0.0
expect,64,160,321,3,0.0,0.0,0.0,0.0
much,64,114,132,3,0.0,0.0,0.0,0.0
intern,64,78,111,3,0.0,0.0,0.0,0.0
nomine,64,0,0,1,0.47712125471966244,30.535760302058396,0.0,0.0
martin,63,21,11,3,0.0,0.0,0.0,0.0
studio,63,4,5,3,0.0,0.0,0.0,0.0
danc,63,1,1,3,0.0,0.0,0.0,0.0
special,62,39,12,3,0.0,0.0,0.0,0.0
stone,62,2,3,3,0.0,0.0,0.0,0.0
due,61,57,63,3,0.0,0.0,0.0,0.0
channel,61,8,6,3,0.0,0.0,0.0,0.0
york,61,7,62,3,0.0,0.0,0.0,0.0
download,61,0,0,1,0.47712125471966244,29.104396537899408,0.0,0.0
school,60,145,10,3,0.0,0.0,0.0,0.0
found,60,61,67,3,0.0,0.0,0.0,0.0
countri,59,272,319,3,0.0,0.0,0.0,0.0
michael,59,168,19,3,0.0,0.0,0.0,0.0
still,59,111,164,3,0.0,0.0,0.0,0.0
current,59,107,137,3,0.0,0.0,0.0,0.0
william,59,23,12,3,0.0,0.0,0.0,0.0
ticket,59,4,8,3,0.0,0.0,0.0,0.0
member,58,147,67,3,0.0,0.0,0.0,0.0
run,58,81,77,3,0.0,0.0,0.0,0.0
seen,58,68,89,3,0.0,0.0,0.0,0.0
urban,58,4,3,3,0.0,0.0,0.0,0.0
dollar,58,2,214,3,0.0,0.0,0.0,0.0
foxx,58,0,0,1,0.47712125471966244,27.67303277374042,0.0,0.0
alreadi,57,115,82,3,0.0,0.0,0.0,0.0
held,57,86,40,3,0.0,0.0,0.0,0.0
howev,57,67,256,3,0.0,0.0,0.0,0.0
cinema,57,1,2,3,0.0,0.0,0.0,0.0
help,56,148,141,3,0.0,0.0,0.0,0.0
never,56,56,15,3,0.0,0.0,0.0,0.0
jackson,56,16,0,2,0.17609125905568124,9.861110507118148,2.8174601448909,0.0
concert,56,1,0,2,0.17609125905568124,9.861110507118148,0.17609125905568124,0.0
sunday,55,51,39,3,0.0,0.0,0.0,0.0
organis,55,47,44,3,0.0,0.0,0.0,0.0
viewer,55,2,0,2,0.17609125905568124,9.685019248062469,0.3521825181113625,0.0
remain,54,69,153,3,0.0,0.0,0.0,0.0
death,54,41,10,3,0.0,0.0,0.0,0.0
biggest,54,23,142,3,0.0,0.0,0.0,0.0
paul,54,22,13,3,0.0,0.0,0.0,0.0
golden,54,11,18,3,0.0,0.0,0.0,0.0
lo,54,0,0,1,0.47712125471966244,25.76454775486177,0.0,0.0
report,53,238,298,3,0.0,0.0,0.0,0.0
talent,53,5,2,3,0.0,0.0,0.0,0.0
popular,53,4,20,3,0.0,0.0,0.0,0.0
court,52,121,126,3,0.0,0.0,0.0,0.0
thing,52,94,33,3,0.0,0.0,0.0,0.0
start,52,83,85,3,0.0,0.0,0.0,0.0
brother,52,2,14,3,0.0,0.0,0.0,0.0
lee,52,1,2,3,0.0,0.0,0.0,0.0
dvd,52,0,2,2,0.17609125905568124,9.156745470895425,0.0,0.3521825181113625
britain,51,265,10,3,0.0,0.0,0.0,0.0
war,51,123,17,3,0.0,0.0,0.0,0.0
news,51,113,143,3,0.0,0.0,0.0,0.0
person,51,102,33,3,0.0,0.0,0.0,0.0
join,51,58,27,3,0.0,0.0,0.0,0.0
saw,51,19,50,3,0.0,0.0,0.0,0.0
brit,51,1,0,2,0.17609125905568124,8.980654211839743,0.17609125905568124,0.0
final,50,44,47,3,0.0,0.0,0.0,0.0
accord,50,43,132,3,0.0,0.0,0.0,0.0
west,50,34,20,3,0.0,0.0,0.0,0.0
pick,50,9,32,3,0.0,0.0,0.0,0.0
label,50,8,17,3,0.0,0.0,0.0,0.0
plan,49,484,207,3,0.0,0.0,0.0,0.0
put,49,142,96,3,0.0,0.0,0.0,0.0
robert,49,57,14,3,0.0,0.0,0.0,0.0
woman,49,15,3,3,0.0,0.0,0.0,0.0
documentari,49,10,1,3,0.0,0.0,0.0,0.0
tri,48,115,68,3,0.0,0.0,0.0,0.0
state,48,106,208,3,0.0,0.0,0.0,0.0
given,48,76,53,3,0.0,0.0,0.0,0.0
anoth,48,57,59,3,0.0,0.0,0.0,0.0
write,48,21,8,3,0.0,0.0,0.0,0.0
pictur,48,14,18,3,0.0,0.0,0.0,0.0
jami,48,0,1,2,0.17609125905568124,8.4523804346727,0.0,0.17609125905568124
elvi,48,0,0,1,0.47712125471966244,22.901820226543798,0.0,0.0
sir,47,83,5,3,0.0,0.0,0.0,0.0
independ,47,79,25,3,0.0,0.0,0.0,0.0
six,47,68,40,3,0.0,0.0,0.0,0.0
despit,47,46,98,3,0.0,0.0,0.0,0.0
rapper,47,0,0,1,0.47712125471966244,22.424698971824135,0.0,0.0
vera,47,0,0,1,0.47712125471966244,22.424698971824135,0.0,0.0
drake,47,0,0,1,0.47712125471966244,22.424698971824135,0.0,0.0
claim,46,266,129,3,0.0,0.0,0.0,0.0
friday,46,36,66,3,0.0,0.0,0.0,0.0
citi,46,34,39,3,0.0,0.0,0.0,0.0
sound,46,16,9,3,0.0,0.0,0.0,0.0
king,46,12,6,3,0.0,0.0,0.0,0.0
entertain,46,3,5,3,0.0,0.0,0.0,0.0
robbi,46,0,0,1,0.47712125471966244,21.947577717104473,0.0,0.0
sideway,46,0,0,1,0.47712125471966244,21.947577717104473,0.0,0.0
judg,45,78,18,3,0.0,0.0,0.0,0.0
past,45,53,74,3,0.0,0.0,0.0,0.0
yet,45,49,54,3,0.0,0.0,0.0,0.0
base,45,48,48,3,0.0,0.0,0.0,0.0
game,45,38,34,3,0.0,0.0,0.0,0.0
art,45,14,3,3,0.0,0.0,0.0,0.0
hous,44,168,132,3,0.0,0.0,0.0,0.0
announc,44,139,116,3,0.0,0.0,0.0,0.0
action,44,96,68,3,0.0,0.0,0.0,0.0
figur,44,95,194,3,0.0,0.0,0.0,0.0
continu,44,94,190,3,0.0,0.0,0.0,0.0
univers,44,64,18,3,0.0,0.0,0.0,0.0
ever,44,54,13,3,0.0,0.0,0.0,0.0
date,44,43,22,3,0.0,0.0,0.0,0.0
histori,44,26,18,3,0.0,0.0,0.0,0.0
saturday,44,22,11,3,0.0,0.0,0.0,0.0
weekend,44,16,17,3,0.0,0.0,0.0,0.0
richard,44,15,13,3,0.0,0.0,0.0,0.0
station,44,8,9,3,0.0,0.0,0.0,0.0
scene,44,8,1,3,0.0,0.0,0.0,0.0
magazin,44,6,8,3,0.0,0.0,0.0,0.0
scorses,44,0,0,1,0.47712125471966244,20.993335207665147,0.0,0.0
real,43,64,29,3,0.0,0.0,0.0,0.0
aid,43,62,66,3,0.0,0.0,0.0,0.0
alway,43,59,12,3,0.0,0.0,0.0,0.0
ago,43,35,50,3,0.0,0.0,0.0,0.0
video,43,10,17,3,0.0,0.0,0.0,0.0
copi,43,2,5,3,0.0,0.0,0.0,0.0
novel,43,1,0,2,0.17609125905568124,7.5719241393942935,0.17609125905568124,0.0
nation,42,204,146,3,0.0,0.0,0.0,0.0
believ,42,201,98,3,0.0,0.0,0.0,0.0
spokesman,42,190,59,3,0.0,0.0,0.0,0.0
meet,42,139,146,3,0.0,0.0,0.0,0.0
david,42,98,32,3,0.0,0.0,0.0,0.0
monday,42,79,57,3,0.0,0.0,0.0,0.0
littl,42,64,39,3,0.0,0.0,0.0,0.0
sign,42,54,85,3,0.0,0.0,0.0,0.0
total,42,38,96,3,0.0,0.0,0.0,0.0
outsid,42,23,24,3,0.0,0.0,0.0,0.0
harri,42,16,2,3,0.0,0.0,0.0,0.0
classic,42,3,2,3,0.0,0.0,0.0,0.0
soul,42,1,0,2,0.17609125905568124,7.395832880338612,0.17609125905568124,0.0
swank,42,0,0,1,0.47712125471966244,20.039092698225822,0.0,0.0
polic,41,217,10,3,0.0,0.0,0.0,0.0
chang,41,214,97,3,0.0,0.0,0.0,0.0
behind,41,24,26,3,0.0,0.0,0.0,0.0
friend,41,24,7,3,0.0,0.0,0.0,0.0
januari,41,22,122,3,0.0,0.0,0.0,0.0
watch,41,22,3,3,0.0,0.0,0.0,0.0
attend,41,21,24,3,0.0,0.0,0.0,0.0
french,41,11,46,3,0.0,0.0,0.0,0.0
musician,41,0,1,2,0.17609125905568124,7.219741621282931,0.0,0.17609125905568124
eastwood,41,0,0,1,0.47712125471966244,19.56197144350616,0.0,0.0
gener,40,261,117,3,0.0,0.0,0.0,0.0
give,40,144,70,3,0.0,0.0,0.0,0.0
without,40,122,30,3,0.0,0.0,0.0,0.0
face,40,115,126,3,0.0,0.0,0.0,0.0
deal,40,106,234,3,0.0,0.0,0.0,0.0
ms,40,95,64,3,0.0,0.0,0.0,0.0
feel,40,50,23,3,0.0,0.0,0.0,0.0
describ,40,37,13,3,0.0,0.0,0.0,0.0
lot,40,30,32,3,0.0,0.0,0.0,0.0
becam,40,30,21,3,0.0,0.0,0.0,0.0
project,40,26,77,3,0.0,0.0,0.0,0.0
eight,40,25,18,3,0.0,0.0,0.0,0.0
collect,40,15,11,3,0.0,0.0,0.0,0.0
la,40,5,1,3,0.0,0.0,0.0,0.0
bafta,40,1,0,2,0.17609125905568124,7.0436503622272495,0.17609125905568124,0.0
globe,40,0,5,2,0.17609125905568124,7.0436503622272495,0.0,0.8804562952784062
filmmak,40,0,0,1,0.47712125471966244,19.084850188786497,0.0,0.0
author,39,73,63,3,0.0,0.0,0.0,0.0
close,39,71,118,3,0.0,0.0,0.0,0.0
differ,39,60,25,3,0.0,0.0,0.0,0.0
left,39,56,34,3,0.0,0.0,0.0,0.0
creat,39,50,82,3,0.0,0.0,0.0,0.0
earn,39,42,98,3,0.0,0.0,0.0,0.0
latest,39,32,73,3,0.0,0.0,0.0,0.0
promot,39,32,24,3,0.0,0.0,0.0,0.0
surpris,39,18,27,3,0.0,0.0,0.0,0.0
thank,39,9,18,3,0.0,0.0,0.0,0.0
track,39,7,22,3,0.0,0.0,0.0,0.0
dead,39,7,4,3,0.0,0.0,0.0,0.0
episod,39,7,0,2,0.17609125905568124,6.867559103171568,1.2326388133897686,0.0
digit,39,2,4,3,0.0,0.0,0.0,0.0
u,39,0,1,2,0.17609125905568124,6.867559103171568,0.0,0.17609125905568124
staunton,39,0,0,1,0.47712125471966244,18.607728934066834,0.0,0.0
major,38,117,102,3,0.0,0.0,0.0,0.0
long,38,58,54,3,0.0,0.0,0.0,0.0
leav,38,58,28,3,0.0,0.0,0.0,0.0
across,38,50,49,3,0.0,0.0,0.0,0.0
led,38,24,48,3,0.0,0.0,0.0,0.0
mike,38,11,6,3,0.0,0.0,0.0,0.0
writer,38,7,0,2,0.17609125905568124,6.691467844115887,1.2326388133897686,0.0
hill,38,4,0,2,0.17609125905568124,6.691467844115887,0.704365036222725,0.0
dicaprio,38,0,0,1,0.47712125471966244,18.13060767934717,0.0,0.0
rais,37,88,89,3,0.0,0.0,0.0,0.0
far,37,75,63,3,0.0,0.0,0.0,0.0
idea,37,59,6,3,0.0,0.0,0.0,0.0
lost,37,51,82,3,0.0,0.0,0.0,0.0
earli,37,33,64,3,0.0,0.0,0.0,0.0
manag,37,32,113,3,0.0,0.0,0.0,0.0
edward,37,22,4,3,0.0,0.0,0.0,0.0
contest,37,22,2,3,0.0,0.0,0.0,0.0
chariti,37,21,2,3,0.0,0.0,0.0,0.0
wonder,37,16,4,3,0.0,0.0,0.0,0.0
queen,37,16,1,3,0.0,0.0,0.0,0.0
femal,37,8,1,3,0.0,0.0,0.0,0.0
cast,37,4,10,3,0.0,0.0,0.0,0.0
joss,37,0,1,2,0.17609125905568124,6.5153765850602054,0.0,0.17609125905568124
need,36,243,160,3,0.0,0.0,0.0,0.0
decis,36,135,96,3,0.0,0.0,0.0,0.0
problem,36,129,82,3,0.0,0.0,0.0,0.0
key,36,70,72,3,0.0,0.0,0.0,0.0
market,36,61,539,3,0.0,0.0,0.0,0.0
controversi,36,52,18,3,0.0,0.0,0.0,0.0
anim,36,34,0,2,0.17609125905568124,6.339285326004525,5.987102807893162,0.0
whose,36,31,29,3,0.0,0.0,0.0,0.0
battl,36,25,28,3,0.0,0.0,0.0,0.0
late,36,17,39,3,0.0,0.0,0.0,0.0
charact,36,10,2,3,0.0,0.0,0.0,0.0
shot,36,9,3,3,0.0,0.0,0.0,0.0
itv,36,7,0,2,0.17609125905568124,6.339285326004525,1.2326388133897686,0.0
comic,36,1,0,2,0.17609125905568124,6.339285326004525,0.17609125905568124,0.0
dj,36,1,0,2,0.17609125905568124,6.339285326004525,0.17609125905568124,0.0
ask,35,139,53,3,0.0,0.0,0.0,0.0
respons,35,125,58,3,0.0,0.0,0.0,0.0
fund,35,87,128,3,0.0,0.0,0.0,0.0
execut,35,81,202,3,0.0,0.0,0.0,0.0
street,35,81,45,3,0.0,0.0,0.0,0.0
better,35,74,52,3,0.0,0.0,0.0,0.0
involv,35,70,43,3,0.0,0.0,0.0,0.0
mark,35,49,38,3,0.0,0.0,0.0,0.0
head,35,46,59,3,0.0,0.0,0.0,0.0
old,35,36,8,3,0.0,0.0,0.0,0.0
compar,35,26,54,3,0.0,0.0,0.0,0.0
network,35,8,34,3,0.0,0.0,0.0,0.0
cent,35,5,21,3,0.0,0.0,0.0,0.0
opera,35,3,1,3,0.0,0.0,0.0,0.0
mtv,35,0,5,2,0.17609125905568124,6.163194066948844,0.0,0.8804562952784062
grammi,35,0,0,1,0.47712125471966244,16.699243915188184,0.0,0.0
import,34,84,81,3,0.0,0.0,0.0,0.0
less,34,69,89,3,0.0,0.0,0.0,0.0
everi,34,69,23,3,0.0,0.0,0.0,0.0
thought,34,68,34,3,0.0,0.0,0.0,0.0
done,34,66,15,3,0.0,0.0,0.0,0.0
hand,34,51,42,3,0.0,0.0,0.0,0.0
achiev,34,44,15,3,0.0,0.0,0.0,0.0
media,34,40,28,3,0.0,0.0,0.0,0.0
complet,34,37,30,3,0.0,0.0,0.0,0.0
known,34,23,30,3,0.0,0.0,0.0,0.0
though,34,12,32,3,0.0,0.0,0.0,0.0
titl,34,10,7,3,0.0,0.0,0.0,0.0
compet,34,9,15,3,0.0,0.0,0.0,0.0
sequel,34,0,0,1,0.47712125471966244,16.22212266046852,0.0,0.0
gig,34,0,0,1,0.47712125471966244,16.22212266046852,0.0,0.0
ballet,34,0,0,1,0.47712125471966244,16.22212266046852,0.0,0.0
servic,33,212,100,3,0.0,0.0,0.0,0.0
earlier,33,62,97,3,0.0,0.0,0.0,0.0
presid,33,61,174,3,0.0,0.0,0.0,0.0
someth,33,58,13,3,0.0,0.0,0.0,0.0
form,33,53,21,3,0.0,0.0,0.0,0.0
reach,33,42,72,3,0.0,0.0,0.0,0.0
murder,33,39,1,3,0.0,0.0,0.0,0.0
davi,33,36,4,3,0.0,0.0,0.0,0.0
design,33,29,28,3,0.0,0.0,0.0,0.0
competit,33,16,79,3,0.0,0.0,0.0,0.0
previous,33,15,47,3,0.0,0.0,0.0,0.0
leigh,33,10,0,2,0.17609125905568124,5.811011548837481,1.7609125905568124,0.0
tip,33,6,10,3,0.0,0.0,0.0,0.0
de,33,4,12,3,0.0,0.0,0.0,0.0
mari,33,2,0,2,0.17609125905568124,5.811011548837481,0.3521825181113625,0.0
adapt,33,1,1,3,0.0,0.0,0.0,0.0
rap,33,0,1,2,0.17609125905568124,5.811011548837481,0.0,0.17609125905568124
govern,32,759,372,3,0.0,0.0,0.0,0.0
attack,32,129,31,3,0.0,0.0,0.0,0.0
interest,32,96,186,3,0.0,0.0,0.0,0.0
mean,32,91,61,3,0.0,0.0,0.0,0.0
choic,32,89,6,3,0.0,0.0,0.0,0.0
quit,32,74,23,3,0.0,0.0,0.0,0.0
charg,32,66,94,3,0.0,0.0,0.0,0.0
fox,32,60,11,3,0.0,0.0,0.0,0.0
march,32,57,43,3,0.0,0.0,0.0,0.0
shown,32,33,16,3,0.0,0.0,0.0,0.0
june,32,27,22,3,0.0,0.0,0.0,0.0
begin,32,26,36,3,0.0,0.0,0.0,0.0
websit,32,24,13,3,0.0,0.0,0.0,0.0
jame,32,17,11,3,0.0,0.0,0.0,0.0
hotel,32,12,11,3,0.0,0.0,0.0,0.0
rb,32,0,1,2,0.17609125905568124,5.6349202897818,0.0,0.17609125905568124
legal,31,109,66,3,0.0,0.0,0.0,0.0
away,31,83,20,3,0.0,0.0,0.0,0.0
busi,31,73,280,3,0.0,0.0,0.0,0.0
happen,31,72,26,3,0.0,0.0,0.0,0.0
rate,31,66,326,3,0.0,0.0,0.0,0.0
wednesday,31,58,57,3,0.0,0.0,0.0,0.0
huge,31,38,41,3,0.0,0.0,0.0,0.0
strong,31,34,140,3,0.0,0.0,0.0,0.0
mind,31,27,2,3,0.0,0.0,0.0,0.0
super,31,12,2,3,0.0,0.0,0.0,0.0
franz,31,0,1,2,0.17609125905568124,5.458829030726118,0.0,0.17609125905568124
issu,30,290,81,3,0.0,0.0,0.0,0.0
spend,30,146,169,3,0.0,0.0,0.0,0.0
commun,30,108,28,3,0.0,0.0,0.0,0.0
stop,30,67,29,3,0.0,0.0,0.0,0.0
launch,30,63,61,3,0.0,0.0,0.0,0.0
line,30,59,49,3,0.0,0.0,0.0,0.0
high,30,56,141,3,0.0,0.0,0.0,0.0
